row,column,cell_reference,value,context,source_file
,,E24,"876,000","Row 24 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 240 * 3,650 = 876,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A26,Machine Learning Optimization Tool,"Row 26 product header currently 'Product xxx'. The text_data names this product 'Machine Learning Optimization Tool', so replace the placeholder and correctly identify rows 27-29.",ENGLISH_Finansinis planas en_revenue_forecast
,,B27,25,"Row 27 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 25 units during the project for this product; fill the quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C27,60,"Row 27 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 60 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D27,85,"Row 27 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 85 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E27,110,"Row 27 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 110 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B28,"12,000","Row 28 'Unit selling price, EUR' (During the project) is empty. Text_data lists 12,000 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C28,"12,500","Row 28 'Unit selling price, EUR' (N+1) is empty. Text_data lists 12,500 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D28,"13,000","Row 28 'Unit selling price, EUR' (N+2) is empty. Text_data lists 13,000 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E28,"13,500","Row 28 'Unit selling price, EUR' (N+3) is empty. Text_data lists 13,500 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B29,"300,000","Row 29 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 25 * 12,000 = 300,000 EUR for this product during the project; replace placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C29,"750,000","Row 29 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 60 * 12,500 = 750,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D29,"1,105,000","Row 29 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 85 * 13,000 = 1,105,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E29,"1,485,000","Row 29 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 110 * 13,500 = 1,485,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A31,Business Intelligence Reporting Suite,"Row 31 product header currently 'Product xxx'. The text_data names this product 'Business Intelligence Reporting Suite', so replace the placeholder to correctly identify rows 32-34.",ENGLISH_Finansinis planas en_revenue_forecast
,,B32,200,"Row 32 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 200 units during the project for this product; fill the quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C32,320,"Row 32 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 320 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D32,420,"Row 32 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 420 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E32,550,"Row 32 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 550 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B33,"1,800","Row 33 'Unit selling price, EUR' (During the project) is empty. Text_data lists 1,800 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C33,"1,900","Row 33 'Unit selling price, EUR' (N+1) is empty. Text_data lists 1,900 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D33,"2,000","Row 33 'Unit selling price, EUR' (N+2) is empty. Text_data lists 2,000 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E33,"2,100","Row 33 'Unit selling price, EUR' (N+3) is empty. Text_data lists 2,100 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B34,"360,000","Row 34 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 200 * 1,800 = 360,000 EUR; replace the placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C34,"608,000","Row 34 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 320 * 1,900 = 608,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D34,"840,000","Row 34 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 420 * 2,000 = 840,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E34,"1,155,000","Row 34 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 550 * 2,100 = 1,155,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A36,Customer Analytics Platform,"Row 36 product header currently 'Product xxx'. The text_data identifies this as 'Customer Analytics Platform', so replace placeholder and align rows 37-39 with the provided data.",ENGLISH_Finansinis planas en_revenue_forecast
,,B37,35,"Row 37 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 35 units during the project for this product; fill the quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C37,65,"Row 37 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 65 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D37,90,"Row 37 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 90 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E37,120,"Row 37 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 120 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B38,"6,800","Row 38 'Unit selling price, EUR' (During the project) is empty. Text_data lists 6,800 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C38,"7,100","Row 38 'Unit selling price, EUR' (N+1) is empty. Text_data lists 7,100 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D38,"7,400","Row 38 'Unit selling price, EUR' (N+2) is empty. Text_data lists 7,400 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E38,"7,700","Row 38 'Unit selling price, EUR' (N+3) is empty. Text_data lists 7,700 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B39,"238,000","Row 39 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 35 * 6,800 = 238,000 EUR; replace the placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C39,"461,500","Row 39 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 65 * 7,100 = 461,500 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D39,"666,000","Row 39 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 90 * 7,400 = 666,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E39,"924,000","Row 39 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 120 * 7,700 = 924,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A41,Automated Workflow Management System,"Row 41 product header currently 'Product xxx'. The text_data names this product 'Automated Workflow Management System', so replace the placeholder to correctly label rows 42-44.",ENGLISH_Finansinis planas en_revenue_forecast
,,B42,120,"Row 42 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 120 units during the project for this product; fill the missing quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C42,180,"Row 42 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 180 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D42,230,"Row 42 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 230 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E42,300,"Row 42 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 300 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B43,"4,200","Row 43 'Unit selling price, EUR' (During the project) is empty. Text_data lists 4,200 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C43,"4,400","Row 43 'Unit selling price, EUR' (N+1) is empty. Text_data lists 4,400 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D43,"4,600","Row 43 'Unit selling price, EUR' (N+2) is empty. Text_data lists 4,600 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E43,"4,800","Row 43 'Unit selling price, EUR' (N+3) is empty. Text_data lists 4,800 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B44,"504,000","Row 44 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 120 * 4,200 = 504,000 EUR; replace the placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C44,"792,000","Row 44 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 180 * 4,400 = 792,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D44,"1,058,000","Row 44 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 230 * 4,600 = 1,058,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E44,"1,440,000","Row 44 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 300 * 4,800 = 1,440,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A46,Real-Time Data Monitoring Dashboard,"Row 46 product header currently 'Product xxx'. The text_data names this product 'Real-Time Data Monitoring Dashboard', so replace the placeholder to correctly label rows 47-49.",ENGLISH_Finansinis planas en_revenue_forecast
,,B47,90,"Row 47 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 90 units during the project for this product; fill the missing quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C47,150,"Row 47 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 150 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D47,200,"Row 47 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 200 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E47,260,"Row 47 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 260 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B48,"5,500","Row 48 'Unit selling price, EUR' (During the project) is empty. Text_data lists 5,500 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C48,"5,750","Row 48 'Unit selling price, EUR' (N+1) is empty. Text_data lists 5,750 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D48,"6,000","Row 48 'Unit selling price, EUR' (N+2) is empty. Text_data lists 6,000 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E48,"6,250","Row 48 'Unit selling price, EUR' (N+3) is empty. Text_data lists 6,250 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B49,"495,000","Row 49 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 90 * 5,500 = 495,000 EUR; replace the placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C49,"862,500","Row 49 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 150 * 5,750 = 862,500 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D49,"1,200,000","Row 49 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 200 * 6,000 = 1,200,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E49,"1,625,000","Row 49 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 260 * 6,250 = 1,625,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A51,Industry-Specific Analytics Module,"Row 51 is a product header currently set to generic 'Product xxx'. Based on the provided product list, this block (rows 51-54) corresponds to the 9th product (Industry-Specific Analytics Module). Replacing the placeholder with the actual product name improves clarity and aligns row context with subsequent numeric data.",ENGLISH_Finansinis planas en_revenue_forecast
,,B52,15,"Column B is 'During the project' (sales quantity) and row 52 is 'Sales quantity, pcs.'. The text data specifies 15 units during the project for the Industry-Specific Analytics Module, so filling '15' corrects the empty cell with the provided forecast.",ENGLISH_Finansinis planas en_revenue_forecast
,,C52,35,Column C is 'N+1' (sales quantity). The text data gives 35 units in N+1 for Industry-Specific Analytics Module; filling '35' completes the forecast sequence.,ENGLISH_Finansinis planas en_revenue_forecast
,,D52,55,Column D is 'N+2' (sales quantity). The supplied forecast lists 55 units in N+2 for this product; replacing the empty cell with '55' corrects the missing data.,ENGLISH_Finansinis planas en_revenue_forecast
,,E52,75,Column E is 'N+3' (sales quantity). The text data indicates 75 units in N+3 for Industry-Specific Analytics Module; populating '75' completes the multi-year quantities.,ENGLISH_Finansinis planas en_revenue_forecast
,,B53,15500,"Row 53 is 'Unit selling price, EUR' and column B is 'During the project'. The provided unit price for the project period is 15,500 EUR. Entering '15500' (numeric) aligns the unit price with the revenue calculation.",ENGLISH_Finansinis planas en_revenue_forecast
,,C53,16200,"Column C (N+1) unit price should be 16,200 EUR per text data. Replacing the empty cell with '16200' matches the forecasted price evolution.",ENGLISH_Finansinis planas en_revenue_forecast
,,D53,16900,"Column D (N+2) unit price is specified as 16,900 EUR in the text data; inserting '16900' provides the correct numeric value for revenue calculations.",ENGLISH_Finansinis planas en_revenue_forecast
,,E53,17600,"Column E (N+3) unit price is 17,600 EUR per the provided forecast. Filling '17600' completes the unit price row for this product.",ENGLISH_Finansinis planas en_revenue_forecast
,,B54,232500,"Row 54 is 'Total sales revenue, EUR' and column B is 'During the project'. The provided total for Industry-Specific Analytics Module during the project is 232,500 EUR; replacing the placeholder '0' with '232500' corrects the total revenue.",ENGLISH_Finansinis planas en_revenue_forecast
,,C54,567000,"Column C (N+1) total revenue for this product is 567,000 EUR in the text data. Updating '0' to '567000' aligns totals with the sales quantity and unit price provided.",ENGLISH_Finansinis planas en_revenue_forecast
,,D54,929500,"Column D (N+2) total revenue is specified as 929,500 EUR. Replacing the existing '0' with '929500' ensures the forecasted revenue is accurately recorded.",ENGLISH_Finansinis planas en_revenue_forecast
,,E54,1320000,"Column E (N+3) total revenue should be 1,320,000 EUR per the text data. Updating '0' to '1320000' corrects the final-year revenue for this product.",ENGLISH_Finansinis planas en_revenue_forecast
,,A56,Enterprise AI Solution Suite,Row 56 is the next product header currently 'Product xxx'. The provided list maps this block (rows 56-59) to the Enterprise AI Solution Suite (product 10). Replacing the placeholder with the real product name aligns header and data.,ENGLISH_Finansinis planas en_revenue_forecast
,,B57,12,"Row 57 'Sales quantity, pcs.' during the project should be 12 units for Enterprise AI Solution Suite per text data; the cell is empty and needs this numeric value.",ENGLISH_Finansinis planas en_revenue_forecast
,,C57,28,N+1 sales quantity for this product is given as 28 units; filling '28' completes the projected quantities.,ENGLISH_Finansinis planas en_revenue_forecast
,,D57,45,N+2 sales quantity is 45 units according to the provided forecast; replacing the blank with '45' is appropriate.,ENGLISH_Finansinis planas en_revenue_forecast
,,E57,65,N+3 sales quantity should be 65 units per the text data; entering '65' completes the row.,ENGLISH_Finansinis planas en_revenue_forecast
,,B58,25000,"Row 58 is unit price during the project. The text data specifies 25,000 EUR per unit for this product during the project; replacing empty with '25000' matches expected currency values.",ENGLISH_Finansinis planas en_revenue_forecast
,,C58,26500,"Unit price in N+1 is 26,500 EUR per the forecast. Filling '26500' ensures correct pricing for revenue computations.",ENGLISH_Finansinis planas en_revenue_forecast
,,D58,28000,"Unit price in N+2 is 28,000 EUR per text data; inserting '28000' corrects the empty value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E58,29500,"Unit price in N+3 should be 29,500 EUR; replacing the blank with '29500' aligns pricing across years.",ENGLISH_Finansinis planas en_revenue_forecast
,,B59,300000,"Row 59 is 'Total sales revenue, EUR' during the project. The provided total is 300,000 EUR for Enterprise AI Solution Suite; updating from '0' to '300000' corrects the revenue entry.",ENGLISH_Finansinis planas en_revenue_forecast
,,C59,742000,"N+1 total revenue for this product is 742,000 EUR per text data; replacing '0' with '742000' aligns totals with quantities and unit prices.",ENGLISH_Finansinis planas en_revenue_forecast
,,D59,1260000,"N+2 total revenue specified as 1,260,000 EUR; updating '0' to '1260000' records the forecasted revenue accurately.",ENGLISH_Finansinis planas en_revenue_forecast
,,E59,1917500,"N+3 total revenue is 1,917,500 EUR in the provided data. Changing '0' to '1917500' ensures the table reflects the projected premium sales.",ENGLISH_Finansinis planas en_revenue_forecast
,,A61,Mobile Analytics Application,Row 61 product header currently generic; per the product list this block (rows 61-64) corresponds to the Mobile Analytics Application (product 11). Replacing 'Product xxx' with the actual name clarifies the data block.,ENGLISH_Finansinis planas en_revenue_forecast
,,B62,300,"Row 62 'Sales quantity, pcs.' during the project should be 300 units per text data; the cell is empty and needs this forecasted figure.",ENGLISH_Finansinis planas en_revenue_forecast
,,C62,600,N+1 sales quantity for Mobile Analytics Application is 600 units; filling '600' matches the provided projection.,ENGLISH_Finansinis planas en_revenue_forecast
,,D62,850,N+2 sales quantity is 850 units according to the text data; inserting '850' completes the sequence.,ENGLISH_Finansinis planas en_revenue_forecast
,,E62,1200,"N+3 sales quantity should be 1,200 units per the forecast; entering '1200' fills the empty cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B63,850,"Row 63 is 'Unit selling price, EUR' during the project. The provided price is 850 EUR per unit; entering '850' corrects the blank.",ENGLISH_Finansinis planas en_revenue_forecast
,,C63,900,Unit price in N+1 is 900 EUR per the data; filling '900' aligns price progression.,ENGLISH_Finansinis planas en_revenue_forecast
,,D63,950,Unit price in N+2 is 950 EUR according to the forecast; replacing the empty cell with '950' is appropriate.,ENGLISH_Finansinis planas en_revenue_forecast
,,E63,1000,"Unit price in N+3 is 1,000 EUR per the text data; entering '1000' finalizes the unit price row.",ENGLISH_Finansinis planas en_revenue_forecast
,,B64,255000,"Row 64 'Total sales revenue, EUR' during the project should be 255,000 EUR for Mobile Analytics Application; updating '0' to '255000' corrects the total revenue.",ENGLISH_Finansinis planas en_revenue_forecast
,,C64,540000,"N+1 total revenue is 540,000 EUR in the provided data; replacing '0' with '540000' ensures consistency with quantities and prices.",ENGLISH_Finansinis planas en_revenue_forecast
,,D64,807500,"N+2 total revenue specified as 807,500 EUR; updating from '0' to '807500' records the forecast correctly.",ENGLISH_Finansinis planas en_revenue_forecast
,,E64,1200000,"N+3 total revenue should be 1,200,000 EUR per text data; changing '0' to '1200000' completes the revenue forecast for this product.",ENGLISH_Finansinis planas en_revenue_forecast
,,A66,Compliance Monitoring Tool,Row 66 product header currently 'Product xxx'. Per the provided list this block corresponds to the Compliance Monitoring Tool (product 12). Replacing the placeholder with the actual product name clarifies the block.,ENGLISH_Finansinis planas en_revenue_forecast
,,B67,55,"Row 67 'Sales quantity, pcs.' during the project should be 55 units for the Compliance Monitoring Tool per text data; filling '55' replaces the blank with the forecasted quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C67,95,N+1 sales quantity for this product is 95 units; entering '95' completes the quantities row.,ENGLISH_Finansinis planas en_revenue_forecast
,,D67,135,N+2 sales quantity is 135 units per the forecast; replacing the empty cell with '135' is appropriate.,ENGLISH_Finansinis planas en_revenue_forecast
,,E67,180,N+3 sales quantity should be 180 units according to the text data; filling '180' finalizes the multi-year quantities.,ENGLISH_Finansinis planas en_revenue_forecast
,,B68,7800,"Row 68 is unit price during the project. The provided unit price is 7,800 EUR; setting '7800' aligns the pricing cell with the forecast.",ENGLISH_Finansinis planas en_revenue_forecast
